H,ยูนิคอร์นเป็นสัตว์ในตำนานซึ่งมีการอธิบายมาแต่โบราณว่าเป็นสัตว์ที่มีเขาเกลียวแหลมขนาดใหญ่ออกมาจากหน้าผาก มีการพรรณนายูนิคอร์นในตราโบราณของอารยธรรมลุ่มแม่น้ำสินธุและชาวกรีกโบราณกล่าวถึงยูนิคอร์นในบันทึกประวัติศาสตร์ธรรมชาติโดยนักเขียนหลายคน
H,เขาของสัตว์ตัวนั้นช่างสวยงาม
H,Horn แปลว่าเขา
H,Horn คือเขา
H,เขามีราคาแพง
H,เขาหาได้ยาก
H,Horny animal แปลว่าสัตว์มีเขา
H,ควายเป็นสัตว์มีเขา
H,กวางมีเขาสวยงาม
H,กวางมีเขาที่มีกิ่งสวยงาม
H,กวางมีเขาที่แตกกิ่งสวยงาม
H,ควายมีเขาแหลม
H,ควายมีเขาแหลมคม
H,ควายมีเขาทู่
H,ควายมีเขาสองข้าง
H,ควายมีเขา 2 ข้าง
H,เขาแรดเรียกว่านอ
H,เขาช้างเรียกว่างา
H,งาเป็นเขาของช้าง
H,นอเป็นเขาของแรด
H,เขาเอาไว้ขวิด
H,เขาเป็นสิ่งป้องกันตัว
H,เขามีขนาดใหญ่
H,เขาควายมีขนาดใหญ่
H,คนโง่มักถูกสวมเขา
H,เธอสวมเขาฉัน
H,เธอมันโง่ให้โดนสวมเขา
H,ประยุทธ์มีเขา
H,ควายมีเขาเราก็มี
H,กาลครั้งหนึ่งนานมาแล้วมีกวางตัวหนึ่งมันมีเขาที่สวยงามมาก
H,ยอมเป็นวัวเป็นควายให้เธอสวมเขาเท่าไรยอมเป็นทาสรับใช้ให้เธอเป็นนายในใจฉัน
H,ควายยังมีเขาแต่เราไม่มีใคร
H,เขาวัวเป็นวัสดุหลักในการทำตัวหมากรุกในสมัยโบราณ
H,ตอนท้ายพระเอาเขาบาฮาบุทมาทำดาบ
H,เขาที่ดำสนิทของเธอนั้น เมื่อเข้ากับผมที่แดงช่างตะลึงตา
H,เขาแหลมคมนั้นทะลุร่างหญิงสาวอย่างไร้ความปราณี
H,หนุ่มไอเดียเจ๋งนำเขาควายมาแกะสลักเป็นรูปสัตว์ขาย
H,ตามตำนานเขากวางคุดเกิดเฉพาะกับกวางที่เป็นจ่าฝูงเท่านั้น
H,รับซื้อเขาควาย
